Timestamp (Local),at7_nhx,at4_nhx,at6_nhx,plant_inf_q,at7_z2_do,at7_z3_do
10/1/2023 0:00,1.22,1.02,1.45,16.23,0.98,0.78
10/1/2023 0:20,1.17,0.98,1.41,16.29,0.8,0.68
10/1/2023 0:40,1.01,1.01,1.22,15.41,0.59,0.74
10/1/2023 1:00,0.79,0.94,0.98,14.51,0.71,0.79
10/1/2023 1:20,0.6,0.9,0.76,13.82,0.6,0.64
10/1/2023 1:40,0.42,0.9,0.76,13.35,0.53,0.45
10/1/2023 2:00,0.3,0.88,0.35,12.49,0.48,0.44
10/1/2023 2:20,0.25,0.89,0.15,11.4,0.44,0.43
10/1/2023 2:40,0.14,0.89,0.1,11.15,0.42,0.33
10/1/2023 3:00,0.11,0.89,0.02,11.14,0.32,0.3
10/1/2023 3:20,0.1,0.87,0.05,10.61,0.32,0.29
10/1/2023 3:40,0.12,0.88,0,10.04,0.33,0.32
10/1/2023 4:00,0.1,0.75,0.01,9.79,0.32,0.34
10/1/2023 4:20,0.08,0.65,0.02,9.02,0.3,0.34
10/1/2023 4:40,0.06,0.5,0,9.66,0.36,0.35
10/1/2023 5:00,0.02,0.36,0.01,9.32,0.39,0.29
10/1/2023 5:20,0.02,0.21,0.01,9.46,0.3,0.29
10/1/2023 5:40,0.03,0.09,0.01,9.28,0.27,0.39
10/1/2023 6:00,0.01,0.07,0,8.88,0.32,0.38
10/1/2023 6:20,0.01,0.02,0,9.06,0.27,0.55
10/1/2023 6:40,0.02,0.02,0.01,9.07,0.34,0.5
10/1/2023 7:00,0.01,0.02,0,9.29,0.31,0.59
10/1/2023 7:20,0.01,0.01,0,9.8,0.39,0.55
10/1/2023 7:40,0.02,0.01,0.03,10.02,0.37,0.69
10/1/2023 8:00,0.01,0.02,0,10.2,0.29,0.66
10/1/2023 8:20,0,0.02,0,11.05,0.26,0.68
10/1/2023 8:40,0.01,0.01,0.06,12.48,0.26,0.62
10/1/2023 9:00,0,0,0.23,13.71,0.27,0.63
10/1/2023 9:20,0.03,0.02,0.43,16.41,0.29,0.43
10/1/2023 9:40,0.03,0.01,0.44,14.96,0.3,0.32
10/1/2023 10:00,0.03,0.05,0.59,18.14,0.26,0.22
10/1/2023 10:20,0,0.14,0.86,18.53,0.33,0.2
10/1/2023 10:40,0.03,0.35,1.29,19.28,0.43,0.21
10/1/2023 11:00,0.45,0.68,2,20.14,0.31,0.25
10/1/2023 11:20,1.31,1.27,2.75,20.33,0.35,0.28
10/1/2023 11:40,2.09,1.95,3.37,21.34,0.37,0.36
10/1/2023 12:00,2.43,2.33,3.73,20.98,0.53,0.57
10/1/2023 12:20,2.79,2.52,3.79,20.13,0.56,0.77
10/1/2023 12:40,2.89,2.56,3.59,19.73,0.76,0.79
10/1/2023 13:00,2.65,2.61,3.24,19.84,0.83,0.85
10/1/2023 13:20,2.33,2.22,2.9,20.2,0.88,0.82
10/1/2023 13:40,2.11,1.72,2.58,19.55,0.97,0.83
10/1/2023 14:00,1.96,1.43,2.59,19.27,0.8,0.8
10/1/2023 14:20,1.82,1.16,2.6,18.91,0.92,0.76
10/1/2023 14:40,1.8,0.99,2.59,19.41,0.76,1.01
10/1/2023 15:00,1.82,0.92,2.64,18.98,0.9,0.77
10/1/2023 15:20,1.67,0.97,2.63,18.79,0.52,0.73
10/1/2023 15:40,1.55,1.11,2.59,18.6,1.02,0.68
10/1/2023 16:00,1.57,1.32,2.64,18.74,0.81,0.89
10/1/2023 16:20,1.53,1.49,2.51,18.6,0.58,0.88
10/1/2023 16:40,1.45,1.55,2.24,18.95,0.81,0.85
10/1/2023 17:00,1.32,1.75,1.97,18.62,0.61,0.78
10/1/2023 17:20,1.2,1.76,1.76,18.93,0.65,0.68
